accession	classification	samplingFrame	paper	length
AM774328	cVDPV	healthy	Co-circulation and evolution of polioviruses and species Centeroviruses in a district of Madagascar 	368
AM774327	cVDPV	healthy	Co-circulation and evolution of polioviruses and species Centeroviruses in a district of Madagascar 	368
AY056686	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056685	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056684	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056681	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056670	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056669	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056668	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056667	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056666	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056665	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056664	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056663	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056662	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056661	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056660	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056659	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056657	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056656	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056655	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056654	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056653	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056652	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056651	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056650	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056638	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056637	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056636	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056635	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056634	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056633	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056632	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056631	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056630	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056629	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056628	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056627	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056626	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056625	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056624	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056623	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056621	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	360
AY056658	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	359
AY056620	wild	AFP	Investigation of the presence of recombinant polioviruses in thehit population in Albania during the 1996 outbreak 	359
AJ783735	VDPV	environmental	Prevalence of vaccine-derived polioviruses in sewage and riverwater in South Africa 	296
JX179283	SabinLike	healthy	Nearly constant shedding of diverse enteric viruses by two healthyinfants 	278
